JobLabel,JobTokens,Description,Truck,ConcreteYds,Stone
Tidal Basin,"tidal,basin",6:30 am start. Cont'd with wall cap and 3' sidewalk.  Cont'd prep of more Exposed Agg walks.,128,4,
128,128,,128,4,
Wardman,wardman,"125 Calvert St. site curbs and median pour.  125,123 courtyard walks and pool drains. B pavers ski slope.",125126,13,Holcim
125126,125126,,125126,13,18
Founders 2,"founders,2",Returned to form extension wall in walk alley next to side buidling and started demo of ramp walks.,121,,
121,121,,"Founders,2",,
121102,121102,,121102,,
Canvas,canvas,Completed Canvas Clean-up and Work on Yard wifi and weed cleaning.,D1,,
D1,d1,,1,,
GU Henle,"gu,henle",Started Torndof Lane student lane CO pavers install upper side first and changed elevations.,119,,
119,119,,119,,
Hyattsville Canvas,"hyattsville,canvas","Returned for CO to saw cut down check dam walls rear bio box 9"" each for revised calculation for bond.",116,,
116,116,,"2011,Crystal",,
2011 Crystal,"2011,crystal",Mobilized and started North side building tree removal and dirt for waterproofing to form paverbase.,121,,Orlando Trucks
Moorefield,moorefield,Mobilize and begin form of sidewalk at front of building,"124,22",,Chantilly Pitrun
"124,22","124,22",,"124,22",,1
BridgeDist,bridgedist,Parge over cracks at sidewalk and repairs to permeable pavers at tree pits,118,,
118,118,,118,,
HU Plant,"hu,plant",Concrete For Sorensen,,3,
ARA3A,ara3a,Cont with curb at north side of site to tie-in with original bldg,124122,15,Chantilly 21a
124122,124122,,ARA3A,15,1
HanoverSpring,hanoverspring,Begin excavation and rebar for feature wall footers at pool ctyd,117,,
117,117,,117,,
Rowan,rowan,Cont with curb at periemter of Bldg B,120118,23,
120118,120118,,120118,23,
Kingstowne,kingstowne,Excavate and install trench drain at police exit. Prep sidewlak to corner and chipping of damaged conc,"120,D2",,
"120,D2","120,d2",,2,,
JMV,jmv,,,,
